,Amplitude,AndersonDarling,Autocor_length,Beyond1Std,Gskew,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PercentAmplitude,PeriodLS
4539,0.056,0.405146,4,0.306667,0.002,-9e-06,0.184162,13.174283,0.002076,0.019,0.393333,0.005389,246.326382
4540,0.084,0.695463,15,0.353293,-0.002,-0.000172,0.144071,15.011107999999998,0.0028350000000000003,0.029,0.317365,0.006261999999999999,43.049548
4541,0.1395,0.000255,8,0.383333,0.0225,1e-05,0.013212,14.260397,0.005314,0.062,0.313333,0.011776,198.725437
4542,0.022,0.230667,2,0.32,-0.0015,9e-06,0.192456,14.593353,0.000692,0.006,0.433333,0.002193,3777.61166
4543,0.0205,0.118135,7,0.353591,-0.001,-3.9e-05,0.5882350000000001,13.162779,0.000826,0.006999999999999999,0.441989,0.002431,2675.95878
4544,0.01,1e-05,34,0.393333,0.002,0.000132,1.396973,13.893587,0.000399,0.004,0.273333,0.000936,10.16982
4545,0.05275,0.00028700000000000004,4,0.26875,-0.014,-7.8e-05,0.118793,13.570713,0.001901,0.016,0.48125,0.007145,24.106292
4546,0.017,0.553872,1,0.326667,0.0,0.0,0.011314,15.120697,0.000601,0.006,0.506667,0.002182,722.182522
4547,0.3565,0.0,1,0.396667,-0.19,2.9e-05,2.475423,17.03549,0.011445,0.1365,0.236667,0.028441,0.497727
4548,0.0165,0.118613,2,0.31,0.0035,-4e-06,13.333332999999998,14.041557,0.000627,0.006,0.443333,0.002137,72.065788
4549,0.0845,0.0,9,0.283333,0.0795,-1.3e-05,0.044893,14.662753,0.002903,0.0255,0.473333,0.010511,1925.854783
4550,0.1255,4.5e-05,5,0.24,-0.015,-9e-06,0.099635,14.19414,0.003992,0.035,0.51,0.013874,0.995428
4551,0.02375,0.746225,1,0.288288,0.003,6e-06,0.016472,14.246054,0.000837,0.008,0.45045,0.002316,11.087895
